epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.22408,3.41814,5.69165,1.6722,0,0,0,0,4.30164,8.36459,1.96129,0,0,0
2,2.43577,3.60791,7.0256,1.71206,0,0,0,0,4.28073,8.24683,1.95709,1.22525e-05,1.22525e-05,1.22525e-05
3,3.75163,3.78677,7.21688,1.46687,0,0,0,0,4.27332,7.87849,1.97252,2.401e-05,2.401e-05,2.401e-05
4,4.95622,3.55141,6.68917,2.28602,0,0,0,0,4.2489,7.41882,1.98979,3.52725e-05,3.52725e-05,3.52725e-05
5,6.11807,2.5042,10.8388,1.52957,0,0,0,0,4.15829,7.05185,1.98661,4.604e-05,4.604e-05,4.604e-05
6,7.31156,3.9335,7.28102,1.78155,0,0,0,0,3.91311,7.30603,1.95509,5.63125e-05,5.63125e-05,5.63125e-05
7,8.51086,3.38451,6.10157,1.38389,0,0,0,0,3.46366,8.04212,1.87628,6.609e-05,6.609e-05,6.609e-05
8,9.77714,2.243,6.92109,1.23832,0,0,0,0,2.90913,8.29348,1.77432,7.53725e-05,7.53725e-05,7.53725e-05
9,11.0299,2.92134,5.57991,1.16048,0,0,0,0,2.58819,7.9942,1.68965,8.416e-05,8.416e-05,8.416e-05
10,12.3993,0,7.68067,0,0,0,0,0,2.66406,7.17537,1.6224,9.24525e-05,9.24525e-05,9.24525e-05
11,13.6742,2.94247,6.02731,1.87755,0,0,0,0,2.61055,6.4083,1.51996,0.00010025,0.00010025,0.00010025
12,14.7682,3.12148,5.34289,1.44105,0,0,0,0,2.49509,6.06818,1.44925,0.000107553,0.000107553,0.000107553
13,15.974,2.93118,6.96538,2.1279,0,0,0,0,2.34929,5.87639,1.40896,0.00011436,0.00011436,0.00011436
14,17.0753,0,7.62783,0,0,0,0,0,2.37584,5.64133,1.37972,0.000120672,0.000120672,0.000120672
15,18.2948,0,7.61677,0,0,0,0,0,2.4069,5.63294,1.37748,0.00012649,0.00012649,0.00012649
16,19.5539,3.212,7.00407,1.47317,0,0,0,0,2.064,5.65356,1.27394,0.000131813,0.000131813,0.000131813
17,20.7354,2.49207,4.29907,1.09787,0,0,0,0,1.77099,5.58485,1.17268,0.00013664,0.00013664,0.00013664
18,21.7814,2.57562,4.76413,1.7781,0,0,0,0,1.77099,5.58485,1.17268,0.000140972,0.000140972,0.000140972
19,23.0403,1.53504,4.95418,1.022,0,0,0,0,1.54187,5.2335,1.06162,0.00014481,0.00014481,0.00014481
20,24.2961,1.4851,4.8506,0.95932,0,0,0,0,1.54187,5.2335,1.06162,0.000148153,0.000148153,0.000148153
21,25.5187,2.88291,5.1668,1.30494,0,0,0,0,1.37382,5.43001,0.98789,0.000151,0.000151,0.000151
22,26.6265,2.21239,4.16171,0.95929,0,0,0,0,1.37382,5.43001,0.98789,0.000153353,0.000153353,0.000153353
23,27.897,1.65143,5.16312,1.19752,0,0,0,0,1.22317,5.29764,0.95098,0.00015521,0.00015521,0.00015521
24,29.0873,1.8146,4.88106,0.98744,0,0,0,0,1.22317,5.29764,0.95098,0.000156573,0.000156573,0.000156573
25,30.1661,1.68044,4.70779,1.0521,0,0,0,0,1.12828,5.01866,0.93525,0.00015744,0.00015744,0.00015744
26,31.3402,2.10066,3.81045,1.16542,0,0,0,0,1.12828,5.01866,0.93525,0.000157812,0.000157812,0.000157812
27,32.4142,1.68165,4.58344,1.10421,0,0,0,0,1.19988,4.86847,0.92683,0.00015769,0.00015769,0.00015769
28,33.6142,1.39017,3.86902,1.14589,0,0,0,0,1.19988,4.86847,0.92683,0.000157072,0.000157072,0.000157072
29,34.9182,1.76941,3.81446,1.11837,0,0,0,0,1.20211,5.03114,0.8907,0.00015596,0.00015596,0.00015596
30,36.1497,1.1718,3.83553,1.0153,0,0,0,0,1.20211,5.03114,0.8907,0.000154352,0.000154352,0.000154352
31,37.4294,1.11493,4.50112,0.82384,0,0,0,0,1.20515,4.98085,0.87564,0.00015225,0.00015225,0.00015225
32,38.6533,1.56152,3.0867,1.06858,0,0,0,0,1.20515,4.98085,0.87564,0.000149652,0.000149652,0.000149652
33,39.9313,1.55324,3.33552,1.09695,0,0,0,0,1.19735,4.81048,0.85569,0.00014656,0.00014656,0.00014656
34,41.1484,1.40541,3.66745,0.99605,0,0,0,0,1.19735,4.81048,0.85569,0.000142972,0.000142972,0.000142972
35,42.2566,2.12373,3.68822,1.38143,0,0,0,0,1.16569,4.69055,0.84188,0.00013889,0.00013889,0.00013889
36,43.4402,0,7.69668,0,0,0,0,0,1.16569,4.69055,0.84188,0.000134313,0.000134313,0.000134313
37,44.547,1.25268,2.22828,1.04773,0,0,0,0,1.15141,4.6343,0.83283,0.00012924,0.00012924,0.00012924
38,45.8271,1.28383,2.80584,1.08021,0,0,0,0,1.15141,4.6343,0.83283,0.000123672,0.000123672,0.000123672
39,46.9329,0,7.76629,0,0,0,0,0,1.11396,4.54719,0.8193,0.00011761,0.00011761,0.00011761
40,48.143,0,7.84261,0,0,0,0,0,1.11396,4.54719,0.8193,0.000111052,0.000111052,0.000111052
41,49.4459,1.1669,2.31568,1.07907,0,0,0,0,1.05511,4.50228,0.80615,0.000104,0.000104,0.000104
42,50.5304,1.06187,2.25777,1.00813,0,0,0,0,1.05511,4.50228,0.80615,9.64525e-05,9.64525e-05,9.64525e-05
43,51.8944,1.11458,2.54409,1.08928,0,0,0,0,1.00767,4.36443,0.79126,8.841e-05,8.841e-05,8.841e-05
44,53.0948,1.36829,2.14922,1.05549,0,0,0,0,1.00767,4.36443,0.79126,7.98725e-05,7.98725e-05,7.98725e-05
45,54.195,1.38671,2.78875,0.92471,0,0,0,0,0.9664,4.23283,0.77983,7.084e-05,7.084e-05,7.084e-05
46,55.2051,0.65645,2.07805,0.92145,0,0,0,0,0.9664,4.23283,0.77983,6.13125e-05,6.13125e-05,6.13125e-05
47,56.4742,1.09738,2.78262,0.8716,0,0,0,0,0.95864,4.13648,0.77332,5.129e-05,5.129e-05,5.129e-05
48,57.5291,1.58612,2.68853,0.97294,0,0,0,0,0.95864,4.13648,0.77332,4.07725e-05,4.07725e-05,4.07725e-05
49,58.8413,1.5789,3.72583,0.83471,0,0,0,0,0.94978,4.04061,0.76625,2.976e-05,2.976e-05,2.976e-05
50,60.0598,1.42141,1.96012,0.98069,0,0,0,0,0.94978,4.04061,0.76625,1.82525e-05,1.82525e-05,1.82525e-05
