epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4256,0,168.613,0,0,0,0,0,0,75.9993,0,0,0,0
2,28.4687,0,243.83,0,0,0,0,0,0,77.1689,0,8.91002e-06,8.91002e-06,8.91002e-06
3,34.3098,0,184.525,0,0,0,0,0,0,76.0449,0,1.74601e-05,1.74601e-05,1.74601e-05
4,39.8795,0,142.009,0,0,0,0,0,0,76.7871,0,2.56502e-05,2.56502e-05,2.56502e-05
5,46.4339,0,101.686,0,0,0,0,0,0,82.1744,0,3.34803e-05,3.34803e-05,3.34803e-05
6,61.6908,0,76.5357,0,0,0,0,0,0,95.2023,0,4.09505e-05,4.09505e-05,4.09505e-05
7,68.0767,0,57.8092,0,0,0,0,0,0,127.694,0,4.80606e-05,4.80606e-05,4.80606e-05
8,76.3728,0,52.3883,0,0,0,0,0,0,185.657,0,5.48109e-05,5.48109e-05,5.48109e-05
9,82.2883,0,44.7775,0,0,0,0,0,0,259.981,0,6.12012e-05,6.12012e-05,6.12012e-05
10,88.173,0,43.7985,0,0,0,0,0,0,295.952,0,6.72315e-05,6.72315e-05,6.72315e-05
11,94.1243,0,43.9508,0,0,0,0,0,0,276.656,0,7.29018e-05,7.29018e-05,7.29018e-05
12,99.9909,0,39.5933,0,0,0,0,0,0,201.777,0,7.82122e-05,7.82122e-05,7.82122e-05
13,108.347,0,37.1451,0,0,0,0,0,0,132.721,0,8.31626e-05,8.31626e-05,8.31626e-05
14,114.577,0,34.0947,0,0,0,0,0,0,91.0604,0,8.7753e-05,8.7753e-05,8.7753e-05
15,120.724,0,31.8861,0,0,0,0,0,0,68.0479,0,9.19835e-05,9.19835e-05,9.19835e-05
16,126.754,0,31.045,0,0,0,0,0,0,56.1536,0,9.5854e-05,9.5854e-05,9.5854e-05
17,132.498,0,29.5966,0,0,0,0,0,0,48.8725,0,9.93646e-05,9.93646e-05,9.93646e-05
18,142.599,0,27.9303,0,0,0,0,0,0,48.8725,0,0.000102515,0.000102515,0.000102515
19,151.744,0,28.2597,0,0,0,0,0,0,41.4826,0,0.000105306,0.000105306,0.000105306
20,157.523,0,26.2641,0,0,0,0,0,0,41.4826,0,0.000107736,0.000107736,0.000107736
21,163.227,0,26.4677,0,0,0,0,0,0,36.6349,0,0.000109807,0.000109807,0.000109807
22,177.684,0,24.926,0,0,0,0,0,0,36.6349,0,0.000111518,0.000111518,0.000111518
23,183.751,0,24.8179,0,0,0,0,0,0,32.5294,0,0.000112869,0.000112869,0.000112869
24,190.681,0,22.6608,0,0,0,0,0,0,32.5294,0,0.00011386,0.00011386,0.00011386
25,196.34,0,23.4035,0,0,0,0,0,0,28.5993,0,0.00011449,0.00011449,0.00011449
26,202.083,0,21.9206,0,0,0,0,0,0,28.5993,0,0.000114761,0.000114761,0.000114761
27,212.23,0,21.5001,0,0,0,0,0,0,24.7151,0,0.000114672,0.000114672,0.000114672
28,221.172,0,20.9816,0,0,0,0,0,0,24.7151,0,0.000114223,0.000114223,0.000114223
29,227.482,0,20.3134,0,0,0,0,0,0,21.609,0,0.000113414,0.000113414,0.000113414
30,234.626,0,19.7608,0,0,0,0,0,0,21.609,0,0.000112245,0.000112245,0.000112245
31,240.297,0,19.2992,0,0,0,0,0,0,21.0613,0,0.000110716,0.000110716,0.000110716
32,248.496,0,17.9105,0,0,0,0,0,0,21.0613,0,0.000108827,0.000108827,0.000108827
33,254.51,0,19.0859,0,0,0,0,0,0,17.9716,0,0.000106578,0.000106578,0.000106578
34,259.824,0,16.9924,0,0,0,0,0,0,17.9716,0,0.00010397,0.00010397,0.00010397
35,265.51,0,17.5581,0,0,0,0,0,0,19.4418,0,0.000101001,0.000101001,0.000101001
36,271.521,0,16,0,0,0,0,0,0,19.4418,0,9.76721e-05,9.76721e-05,9.76721e-05
37,278.081,0,16.3107,0,0,0,0,0,0,17.9124,0,9.39833e-05,9.39833e-05,9.39833e-05
38,284.056,0,15.5555,0,0,0,0,0,0,17.9124,0,8.99346e-05,8.99346e-05,8.99346e-05
39,292.236,0,16.1965,0,0,0,0,0,0,18.6978,0,8.5526e-05,8.5526e-05,8.5526e-05
40,300.409,0,15.1005,0,0,0,0,0,0,18.6978,0,8.07574e-05,8.07574e-05,8.07574e-05
41,308.906,0,14.785,0,0,0,0,0,0,30.7095,0,7.56288e-05,7.56288e-05,7.56288e-05
42,326.576,0,14.4605,0,0,0,0,0,0,30.7095,0,7.01403e-05,7.01403e-05,7.01403e-05
43,334.347,0,14.0597,0,0,0,0,0,0,49.6762,0,6.42918e-05,6.42918e-05,6.42918e-05
44,342.593,0,13.7328,0,0,0,0,0,0,49.6762,0,5.80833e-05,5.80833e-05,5.80833e-05
45,363.957,0,13.6421,0,0,0,0,0,0,50.6135,0,5.15148e-05,5.15148e-05,5.15148e-05
46,376.637,0,13.2581,0,0,0,0,0,0,50.6135,0,4.45864e-05,4.45864e-05,4.45864e-05
47,393.948,0,13.4828,0,0,0,0,0,0,36.8091,0,3.72981e-05,3.72981e-05,3.72981e-05
48,403.237,0,13.2525,0,0,0,0,0,0,36.8091,0,2.96498e-05,2.96498e-05,2.96498e-05
49,420.954,0,12.9588,0,0,0,0,0,0,24.6402,0,2.16415e-05,2.16415e-05,2.16415e-05
50,441.704,0,12.8588,0,0,0,0,0,0,24.6402,0,1.32732e-05,1.32732e-05,1.32732e-05
