epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.959,0.61995,1.07988,1.04837,0,0,0,0,0,593.639,0,0.000465256,0.000465256,0.000465256
2,592.34,0.65694,0.75048,1.03851,0,0,0,0,0,492.751,0,0.000922946,0.000922946,0.000922946
3,886.17,0.72264,0.73631,1.07247,0,0,0,0,0,235.944,0,0.00136177,0.00136177,0.00136177
4,1179.91,0.74244,0.69561,1.07336,0,0,0,0,0,209.221,0,0.00134412,0.00134412,0.00134412
5,1473.24,0.70487,0.65112,1.04073,0,0,0,0,0,180.71,0,0.00131582,0.00131582,0.00131582
6,1769.2,0.69857,0.63594,1.05597,0,0,0,0,0,164.168,0,0.00128753,0.00128753,0.00128753
7,2057.93,0.6853,0.60306,1.04514,0,0,0,0,0,89.5403,0,0.00125923,0.00125923,0.00125923
8,2347.14,0.63193,0.57844,1.02488,0,0,0,0,0,110.759,0,0.00123094,0.00123094,0.00123094
9,2635.79,0.61454,0.5457,1.0227,0,0,0,0,0,150.835,0,0.00120265,0.00120265,0.00120265
10,2923.55,0.62792,0.55154,1.01904,0,0,0,0,0,192.415,0,0.00117435,0.00117435,0.00117435
11,3210.84,0.60285,0.53035,0.99682,0,0,0,0,0,153.359,0,0.00114606,0.00114606,0.00114606
12,3498.13,0.56249,0.48257,0.9899,0,0,0,0,0,126.089,0,0.00111776,0.00111776,0.00111776
13,3788.08,0.60112,0.50285,0.99916,0,0,0,0,0,183.831,0,0.00108947,0.00108947,0.00108947
14,4075.44,0.56986,0.4991,0.99378,0,0,0,0,0,126.038,0,0.00106118,0.00106118,0.00106118
15,4364.34,0.57206,0.48547,0.99223,0,0,0,0,0,82.9216,0,0.00103288,0.00103288,0.00103288
16,4651.61,0.57729,0.48946,0.99413,0,0,0,0,0,129.175,0,0.00100459,0.00100459,0.00100459
17,4937.07,0.56321,0.45681,0.98758,0,0,0,0,0,93.1443,0,0.000976293,0.000976293,0.000976293
18,5221.68,0.55217,0.45539,0.97359,0,0,0,0,0,106.208,0,0.000947999,0.000947999,0.000947999
19,5508.06,0.50019,0.44184,0.94711,0,0,0,0,0,127.306,0,0.000919704,0.000919704,0.000919704
20,5796.16,0.50035,0.41831,0.96015,0,0,0,0,0,124.151,0,0.00089141,0.00089141,0.00089141
21,6083.09,0.51377,0.42399,0.96634,0,0,0,0,0,118.422,0,0.000863116,0.000863116,0.000863116
22,6371.17,0.51437,0.4129,0.96393,0,0,0,0,0,118.047,0,0.000834822,0.000834822,0.000834822
23,6659.38,0.4994,0.396,0.9553,0,0,0,0,0,133.546,0,0.000806528,0.000806528,0.000806528
24,6946.15,0.48942,0.39512,0.95016,0,0,0,0,0,156.534,0,0.000778233,0.000778233,0.000778233
25,7234.4,0.5197,0.40988,0.96931,0,0,0,0,0,111.681,0,0.000749939,0.000749939,0.000749939
26,7521.34,0.48162,0.37989,0.94528,0,0,0,0,0,125.609,0,0.000721645,0.000721645,0.000721645
27,7806.14,0.46752,0.371,0.95522,0,0,0,0,0,121.059,0,0.000693351,0.000693351,0.000693351
28,8095.71,0.48363,0.37661,0.95806,0,0,0,0,0,141.939,0,0.000665057,0.000665057,0.000665057
29,8384.17,0.45785,0.35701,0.9474,0,0,0,0,0,138.446,0,0.000636762,0.000636762,0.000636762
30,8669.64,0.45645,0.36705,0.94874,0,0,0,0,0,117.741,0,0.000608468,0.000608468,0.000608468
31,8955.56,0.47993,0.3667,0.95931,0,0,0,0,0,150.368,0,0.000580174,0.000580174,0.000580174
32,9240.66,0.46478,0.35854,0.95613,0,0,0,0,0,133.864,0,0.00055188,0.00055188,0.00055188
33,9523.44,0.41611,0.32364,0.92881,0,0,0,0,0,112.063,0,0.000523586,0.000523586,0.000523586
34,9807.51,0.42551,0.33421,0.93088,0,0,0,0,0,121.754,0,0.000495291,0.000495291,0.000495291
35,10092.6,0.4411,0.34116,0.93975,0,0,0,0,0,145.081,0,0.000466997,0.000466997,0.000466997
36,10377.8,0.42941,0.3346,0.93777,0,0,0,0,0,111.7,0,0.000438703,0.000438703,0.000438703
37,10659.4,0.43206,0.33411,0.92522,0,0,0,0,0,146.276,0,0.000410409,0.000410409,0.000410409
38,10943.9,0.43373,0.33551,0.93192,0,0,0,0,0,144.462,0,0.000382115,0.000382115,0.000382115
39,11230.1,0.42228,0.32621,0.93802,0,0,0,0,0,139.192,0,0.00035382,0.00035382,0.00035382
40,11516.8,0.40375,0.31359,0.92027,0,0,0,0,0,141.529,0,0.000325526,0.000325526,0.000325526
41,11801.8,0.2994,0.27946,0.84198,0,0,0,0,0,134.618,0,0.000297232,0.000297232,0.000297232
42,12086.9,0.28417,0.25188,0.83025,0,0,0,0,0,127.762,0,0.000268938,0.000268938,0.000268938
43,12369.3,0.28873,0.2539,0.829,0,0,0,0,0,127.516,0,0.000240644,0.000240644,0.000240644
44,12651.4,0.27782,0.23203,0.82619,0,0,0,0,0,128.28,0,0.000212349,0.000212349,0.000212349
45,12935.6,0.2796,0.23273,0.83396,0,0,0,0,0,144.183,0,0.000184055,0.000184055,0.000184055
46,13218.8,0.27165,0.22972,0.84054,0,0,0,0,0,151.373,0,0.000155761,0.000155761,0.000155761
47,13498.6,0.25553,0.22204,0.83237,0,0,0,0,0,144.251,0,0.000127467,0.000127467,0.000127467
48,13782,0.25841,0.21384,0.82881,0,0,0,0,0,149.646,0,9.91726e-05,9.91726e-05,9.91726e-05
49,14065.9,0.26126,0.21348,0.82094,0,0,0,0,0,153.955,0,7.08784e-05,7.08784e-05,7.08784e-05
50,14351.8,0.24588,0.20217,0.81938,0,0,0,0,0,151.098,0,4.25842e-05,4.25842e-05,4.25842e-05
